"","Periodo","Renta.anual.neta.media.por.persona.y.por.unidad.de.consumo","Edad","Sexo","renta"
"1364",2009,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",9168
"1365",2008,"Renta media por persona (con alquiler imputado)","Menos de 18 años","Mujeres",8838
"1366",2022,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",19794
"1367",2021,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",18587
"1368",2020,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",18533
"1369",2019,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",17909
"1370",2018,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",17743
"1371",2017,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",16952
"1372",2016,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",16276
"1373",2015,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",15896
"1374",2014,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",15635
"1375",2013,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",15541
"1376",2012,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",16207
"1377",2011,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",16465
"1378",2010,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",16467
"1379",2009,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",16423
"1380",2008,"Renta media por unidad de consumo (con alquiler imputado)","Menos de 18 años","Mujeres",15766
"1381",2022,"Renta neta media por persona","De 18 a 64 años","Mujeres",13078
"1382",2021,"Renta neta media por persona","De 18 a 64 años","Mujeres",12361
"1383",2020,"Renta neta media por persona","De 18 a 64 años","Mujeres",12374
"1384",2019,"Renta neta media por persona","De 18 a 64 años","Mujeres",11819
"1385",2018,"Renta neta media por persona","De 18 a 64 años","Mujeres",11561
"1386",2017,"Renta neta media por persona","De 18 a 64 años","Mujeres",11305
"1387",2016,"Renta neta media por persona","De 18 a 64 años","Mujeres",10871
"1388",2015,"Renta neta media por persona","De 18 a 64 años","Mujeres",10549
"1389",2014,"Renta neta media por persona","De 18 a 64 años","Mujeres",10528
"1390",2013,"Renta neta media por persona","De 18 a 64 años","Mujeres",10848
"1391",2012,"Renta neta media por persona","De 18 a 64 años","Mujeres",11148
"1392",2011,"Renta neta media por persona","De 18 a 64 años","Mujeres",11332
"1393",2010,"Renta neta media por persona","De 18 a 64 años","Mujeres",11870
"1394",2009,"Renta neta media por persona","De 18 a 64 años","Mujeres",11705
"1395",2008,"Renta neta media por persona","De 18 a 64 años","Mujeres",11239
"1396",2022,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",19453
"1397",2021,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",18353
"1398",2020,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",18362
"1399",2019,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",17598
"1400",2018,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",17208
"1401",2017,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",16798
"1402",2016,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",16144
"1403",2015,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",15707
"1404",2014,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",15696
"1405",2013,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",16147
"1406",2012,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",16636
"1407",2011,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",16936
"1408",2010,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",17731
"1409",2009,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",17660
"1410",2008,"Renta media por unidad de consumo","De 18 a 64 años","Mujeres",16951
"1411",2022,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",14972
"1412",2021,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",14200
"1413",2020,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",14155
"1414",2019,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",13536
"1415",2018,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",13243
"1416",2017,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12932
"1417",2016,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12389
"1418",2015,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",11997
"1419",2014,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12000
"1420",2013,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12213
"1421",2012,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12586
"1422",2011,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12889
"1423",2010,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",13431
"1424",2009,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",13077
"1425",2008,"Renta media por persona (con alquiler imputado)","De 18 a 64 años","Mujeres",12644
"1426",2022,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",22165
"1427",2021,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",20979
"1428",2020,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",20907
"1429",2019,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",20058
"1430",2018,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",19625
"1431",2017,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",19134
"1432",2016,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",18318
"1433",2015,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",17787
"1434",2014,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",17814
"1435",2013,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",18109
"1436",2012,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",18692
"1437",2011,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",19170
"1438",2010,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",19971
"1439",2009,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",19647
"1440",2008,"Renta media por unidad de consumo (con alquiler imputado)","De 18 a 64 años","Mujeres",18999
